iter	MultiClass
0	1.444882202
1	1.331502338
2	1.234193205
3	1.158088586
4	1.094356586
5	1.031163584
6	0.9831243584
7	0.9383035531
8	0.8969605366
9	0.860739334
10	0.8270196247
11	0.7958618844
12	0.7682051164
13	0.7437268737
14	0.7205718242
15	0.6985449693
16	0.6782212425
17	0.6596950597
18	0.6433766239
19	0.6272917973
20	0.6117360757
21	0.5977079217
22	0.5846019264
23	0.5720611208
24	0.5601313529
25	0.5485506022
26	0.5376508078
27	0.5277238729
28	0.518236738
29	0.5089771684
30	0.5001201315
31	0.4918250454
32	0.4839159843
33	0.4765490608
34	0.4692185938
35	0.4620439129
36	0.4555657578
37	0.4493934128
38	0.4434065888
39	0.4377607107
40	0.4322466073
41	0.4265887534
42	0.4213239886
43	0.4161942318
44	0.4111202654
45	0.4066630585
46	0.4020846119
47	0.3973531525
48	0.3930043728
49	0.3886118835
50	0.3845271813
51	0.3806255081
52	0.3770202708
53	0.373371304
54	0.3696899871
55	0.3659476515
56	0.3624968882
57	0.3591681277
58	0.3557673284
59	0.3523555498
60	0.3495312276
61	0.346480199
62	0.3437775851
63	0.340863167
64	0.3382621198
65	0.335450747
66	0.3328842384
67	0.3304727541
68	0.3280349613
69	0.3253884074
70	0.3228872092
71	0.3203705249
72	0.3181411563
73	0.3158333722
74	0.3135800673
75	0.3113768153
76	0.3092101282
77	0.3071459512
78	0.305134271
79	0.3031837881
80	0.3012524744
81	0.2991438193
82	0.2972938609
83	0.2956048183
84	0.2937401572
85	0.2918341939
86	0.2901664793
87	0.2884246887
88	0.2867795273
89	0.2851580011
90	0.2836192724
91	0.2819910042
92	0.2803773553
93	0.2788360727
94	0.2772462624
95	0.2757409735
96	0.2742944251
97	0.2727827655
98	0.2712733394
99	0.2699364838
100	0.2685607974
101	0.2672755943
102	0.2658854933
103	0.2644862258
104	0.2631810677
105	0.2619929897
106	0.2607851523
107	0.2595978174
108	0.2582412776
109	0.2569653843
110	0.2558194112
111	0.2546243267
112	0.2535411615
113	0.2524533549
114	0.2512671317
115	0.2501806185
116	0.2491240671
117	0.2479531434
118	0.2467749739
119	0.2457756925
120	0.2445999238
121	0.2434564432
122	0.2424592242
123	0.2414514094
124	0.2405225896
125	0.2395523671
126	0.23854599
127	0.2376503541
128	0.2367324084
129	0.2358736074
130	0.2349867624
131	0.2340268874
132	0.2331100343
133	0.2322212532
134	0.2312589058
135	0.2303389765
136	0.2294665914
137	0.2284676706
138	0.2275827166
139	0.2267679542
140	0.2259447721
141	0.2251136833
142	0.2242848121
143	0.2234960686
144	0.2227064682
145	0.2218955061
146	0.221187395
147	0.220348309
148	0.219547461
149	0.2188027607
150	0.2181097075
151	0.2173774517
152	0.2166134678
153	0.2159239756
154	0.2152661622
155	0.2144969882
156	0.2137416627
157	0.2130321008
158	0.2123023021
159	0.2116923027
160	0.2109759942
161	0.2102680681
162	0.2095804663
163	0.208912321
164	0.2082630812
165	0.2076392803
166	0.2070137246
167	0.2063629125
168	0.2056954601
169	0.2051125125
170	0.2044925612
171	0.2039071716
172	0.2033235826
173	0.2027165178
174	0.2020892365
175	0.2015104932
176	0.2009151278
177	0.2003399598
178	0.1997368678
179	0.1991813986
180	0.1985504681
181	0.197968768
182	0.1974336415
183	0.1968919398
184	0.1963813581
185	0.195794295
186	0.1952694412
187	0.1947445051
188	0.1942157882
189	0.1936747022
190	0.1931221648
191	0.192639162
192	0.1921487226
193	0.1916593453
194	0.191159678
